,location,coords,lat,lon,year,period,period_date,value
128,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2016,M07,2016-07-01,171.568
129,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2016,M05,2016-05-01,170.732
130,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2016,M03,2016-03-01,169.966
131,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2016,M01,2016-01-01,168.587
132,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2015,M11,2015-11-01,168.682
133,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2015,M09,2015-09-01,168.462
134,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2015,M07,2015-07-01,168.092
135,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2015,M05,2015-05-01,166.864
136,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2015,M03,2015-03-01,166.786
137,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2015,M01,2015-01-01,166.015
138,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2014,M11,2014-11-01,165.678
139,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2014,M09,2014-09-01,165.115
140,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2014,M07,2014-07-01,164.235
141,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2014,M05,2014-05-01,163.189
142,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2014,M03,2014-03-01,163.907
143,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2014,M01,2014-01-01,162.800
144,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2013,M11,2013-11-01,162.072
145,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2013,M09,2013-09-01,161.977
146,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2013,M07,2013-07-01,161.697
147,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2013,M05,2013-05-01,160.555
148,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2013,M03,2013-03-01,160.664
149,"Kansas City, MO-KS","{'lat': 39.0997265, 'lon': -94.5785667}",39.0997265,-94.5785667,2013,M01,2013-01-01,160.134
150,"Washington-Baltimore, DC-MD-VA-WV","{'lat': 39.1774042, 'lon': -76.6683922}",39.1774042,-76.6683922,2017,M12,2017-12-01,292.603
151,"Washington-Baltimore, DC-MD-VA-WV","{'lat': 39.1774042, 'lon': -76.6683922}",39.1774042,-76.6683922,2017,M11,2017-11-01,291.580
